Proposed Type,Loan A/c,Loan A/c Name,Type of Case,Case No,Lawyer Name,Date of Bill (Y-m-d),District,Activities Name, Amount ,Region,Cost Type
Loan,1101202669501001,HABIB STEELS LIMITED,NI Act-138,CR-356/22,Adv. Muhammad Nayeem Bhuiyan,2004-09-22,Chattogram,Drafting & Filing," 1,320 ",East,Lawyer Bill
Loan,1101202678371001,REGENT SPINNING MILLS LTD.,NI Act-138,CR-371/22,Adv. Muhammad Nayeem Bhuiyan,2012-09-22,Chattogram,Drafting & Filing," 1,320 ",East,Lawyer Bill
Loan,1101202669501001,HABIB STEELS LIMITED,NI Act-138,CR-356/22,Adv. Muhammad Nayeem Bhuiyan,2004-09-22,Chattogram,Drafting of Summons Notice, 300 ,East,Lawyer Bill
Loan,1101202678371001,REGENT SPINNING MILLS LTD.,NI Act-138,CR-371/22,Adv. Muhammad Nayeem Bhuiyan,2012-09-22,Chattogram,Drafting of Summons Notice, 300 ,East,Lawyer Bill
